[2025-02-18 10:29:24] Application app1 created successfully for Llama (Backend: 5241, Frontend: 5741)
[2025-02-18 10:30:49] Application app19 created successfully for Llama (Backend: 5277, Frontend: 5777)
[2025-02-18 10:30:49] Application app20 created successfully for Llama (Backend: 5279, Frontend: 5779)
[2025-02-18 10:32:19] Created base directory: C:/Users/grabowmar/Desktop/ThesisAppsSvelte/Llama
[2025-02-18 10:32:19] Application app1 created successfully for Llama (Backend: 5241, Frontend: 5741)
[2025-02-18 10:32:19] Application app2 created successfully for Llama (Backend: 5243, Frontend: 5743)
[2025-02-18 10:32:19] Application app3 created successfully for Llama (Backend: 5245, Frontend: 5745)
[2025-02-18 10:32:19] Application app4 created successfully for Llama (Backend: 5247, Frontend: 5747)
[2025-02-18 10:32:19] Application app5 created successfully for Llama (Backend: 5249, Frontend: 5749)
[2025-02-18 10:32:19] Application app6 created successfully for Llama (Backend: 5251, Frontend: 5751)
[2025-02-18 10:32:19] Application app7 created successfully for Llama (Backend: 5253, Frontend: 5753)
[2025-02-18 10:32:19] Application app8 created successfully for Llama (Backend: 5255, Frontend: 5755)
[2025-02-18 10:32:19] Application app9 created successfully for Llama (Backend: 5257, Frontend: 5757)
[2025-02-18 10:32:19] Application app10 created successfully for Llama (Backend: 5259, Frontend: 5759)
[2025-02-18 10:32:19] Application app11 created successfully for Llama (Backend: 5261, Frontend: 5761)
[2025-02-18 10:32:19] Application app12 created successfully for Llama (Backend: 5263, Frontend: 5763)
[2025-02-18 10:32:19] Application app13 created successfully for Llama (Backend: 5265, Frontend: 5765)
[2025-02-18 10:32:19] Application app14 created successfully for Llama (Backend: 5267, Frontend: 5767)
[2025-02-18 10:32:19] Application app15 created successfully for Llama (Backend: 5269, Frontend: 5769)
[2025-02-18 10:32:19] Application app16 created successfully for Llama (Backend: 5271, Frontend: 5771)
[2025-02-18 10:32:19] Application app17 created successfully for Llama (Backend: 5273, Frontend: 5773)
[2025-02-18 10:32:19] Application app18 created successfully for Llama (Backend: 5275, Frontend: 5775)
[2025-02-18 10:32:19] Application app19 created successfully for Llama (Backend: 5277, Frontend: 5777)
[2025-02-18 10:32:19] Application app20 created successfully for Llama (Backend: 5279, Frontend: 5779)
[2025-02-18 10:41:51] Created base directory: C:/Users/grabowmar/Desktop/ThesisAppsSvelte/Llama
[2025-02-18 10:41:51] Error occurred in Llama: [Errno 2] No such file or directory: 'z_code_templates/frontend/src/App.css'
[2025-02-18 10:42:34] Created base directory: C:/Users/grabowmar/Desktop/ThesisAppsSvelte/Llama
[2025-02-18 10:42:34] Application app1 created successfully for Llama (Backend: 5241, Frontend: 5741)
[2025-02-18 10:42:34] Application app2 created successfully for Llama (Backend: 5243, Frontend: 5743)
[2025-02-18 10:42:34] Application app3 created successfully for Llama (Backend: 5245, Frontend: 5745)
[2025-02-18 10:42:34] Application app4 created successfully for Llama (Backend: 5247, Frontend: 5747)
[2025-02-18 10:42:34] Application app5 created successfully for Llama (Backend: 5249, Frontend: 5749)
[2025-02-18 10:42:34] Application app6 created successfully for Llama (Backend: 5251, Frontend: 5751)
[2025-02-18 10:42:34] Application app7 created successfully for Llama (Backend: 5253, Frontend: 5753)
[2025-02-18 10:42:34] Application app8 created successfully for Llama (Backend: 5255, Frontend: 5755)
[2025-02-18 10:42:34] Application app9 created successfully for Llama (Backend: 5257, Frontend: 5757)
[2025-02-18 10:42:34] Application app10 created successfully for Llama (Backend: 5259, Frontend: 5759)
[2025-02-18 10:42:34] Application app11 created successfully for Llama (Backend: 5261, Frontend: 5761)
[2025-02-18 10:42:34] Application app12 created successfully for Llama (Backend: 5263, Frontend: 5763)
[2025-02-18 10:42:34] Application app13 created successfully for Llama (Backend: 5265, Frontend: 5765)
[2025-02-18 10:42:34] Application app14 created successfully for Llama (Backend: 5267, Frontend: 5767)
[2025-02-18 10:42:34] Application app15 created successfully for Llama (Backend: 5269, Frontend: 5769)
[2025-02-18 10:42:34] Application app16 created successfully for Llama (Backend: 5271, Frontend: 5771)
[2025-02-18 10:42:34] Application app17 created successfully for Llama (Backend: 5273, Frontend: 5773)
[2025-02-18 10:42:34] Application app18 created successfully for Llama (Backend: 5275, Frontend: 5775)
[2025-02-18 10:42:34] Application app19 created successfully for Llama (Backend: 5277, Frontend: 5777)
[2025-02-18 10:42:34] Application app20 created successfully for Llama (Backend: 5279, Frontend: 5779)
