[2025-02-18 10:29:24] Application app1 created successfully for ClaudeSonnet (Backend: 5181, Frontend: 5681)
[2025-02-18 10:30:49] Application app1 created successfully for ClaudeSonnet (Backend: 5181, Frontend: 5681)
[2025-02-18 10:30:49] Application app2 created successfully for ClaudeSonnet (Backend: 5183, Frontend: 5683)
[2025-02-18 10:30:49] Application app3 created successfully for ClaudeSonnet (Backend: 5185, Frontend: 5685)
[2025-02-18 10:30:49] Application app4 created successfully for ClaudeSonnet (Backend: 5187, Frontend: 5687)
[2025-02-18 10:30:49] Application app5 created successfully for ClaudeSonnet (Backend: 5189, Frontend: 5689)
[2025-02-18 10:30:49] Application app6 created successfully for ClaudeSonnet (Backend: 5191, Frontend: 5691)
[2025-02-18 10:30:49] Application app7 created successfully for ClaudeSonnet (Backend: 5193, Frontend: 5693)
[2025-02-18 10:30:49] Application app8 created successfully for ClaudeSonnet (Backend: 5195, Frontend: 5695)
[2025-02-18 10:30:49] Application app9 created successfully for ClaudeSonnet (Backend: 5197, Frontend: 5697)
[2025-02-18 10:30:49] Application app10 created successfully for ClaudeSonnet (Backend: 5199, Frontend: 5699)
[2025-02-18 10:30:49] Application app11 created successfully for ClaudeSonnet (Backend: 5201, Frontend: 5701)
[2025-02-18 10:30:49] Application app12 created successfully for ClaudeSonnet (Backend: 5203, Frontend: 5703)
[2025-02-18 10:30:49] Application app13 created successfully for ClaudeSonnet (Backend: 5205, Frontend: 5705)
[2025-02-18 10:30:49] Application app14 created successfully for ClaudeSonnet (Backend: 5207, Frontend: 5707)
[2025-02-18 10:30:49] Application app15 created successfully for ClaudeSonnet (Backend: 5209, Frontend: 5709)
[2025-02-18 10:30:49] Application app16 created successfully for ClaudeSonnet (Backend: 5211, Frontend: 5711)
[2025-02-18 10:30:49] Application app17 created successfully for ClaudeSonnet (Backend: 5213, Frontend: 5713)
[2025-02-18 10:30:49] Application app18 created successfully for ClaudeSonnet (Backend: 5215, Frontend: 5715)
[2025-02-18 10:30:49] Application app19 created successfully for ClaudeSonnet (Backend: 5217, Frontend: 5717)
[2025-02-18 10:30:49] Application app20 created successfully for ClaudeSonnet (Backend: 5219, Frontend: 5719)
[2025-02-18 10:32:19] Created base directory: C:/Users/grabowmar/Desktop/ThesisAppsSvelte/ClaudeSonnet
[2025-02-18 10:32:19] Application app1 created successfully for ClaudeSonnet (Backend: 5181, Frontend: 5681)
[2025-02-18 10:32:19] Application app2 created successfully for ClaudeSonnet (Backend: 5183, Frontend: 5683)
[2025-02-18 10:32:19] Application app3 created successfully for ClaudeSonnet (Backend: 5185, Frontend: 5685)
[2025-02-18 10:32:19] Application app4 created successfully for ClaudeSonnet (Backend: 5187, Frontend: 5687)
[2025-02-18 10:32:19] Application app5 created successfully for ClaudeSonnet (Backend: 5189, Frontend: 5689)
[2025-02-18 10:32:19] Application app6 created successfully for ClaudeSonnet (Backend: 5191, Frontend: 5691)
[2025-02-18 10:32:19] Application app7 created successfully for ClaudeSonnet (Backend: 5193, Frontend: 5693)
[2025-02-18 10:32:19] Application app8 created successfully for ClaudeSonnet (Backend: 5195, Frontend: 5695)
[2025-02-18 10:32:19] Application app9 created successfully for ClaudeSonnet (Backend: 5197, Frontend: 5697)
[2025-02-18 10:32:19] Application app10 created successfully for ClaudeSonnet (Backend: 5199, Frontend: 5699)
[2025-02-18 10:32:19] Application app11 created successfully for ClaudeSonnet (Backend: 5201, Frontend: 5701)
[2025-02-18 10:32:19] Application app12 created successfully for ClaudeSonnet (Backend: 5203, Frontend: 5703)
[2025-02-18 10:32:19] Application app13 created successfully for ClaudeSonnet (Backend: 5205, Frontend: 5705)
[2025-02-18 10:32:19] Application app14 created successfully for ClaudeSonnet (Backend: 5207, Frontend: 5707)
[2025-02-18 10:32:19] Application app15 created successfully for ClaudeSonnet (Backend: 5209, Frontend: 5709)
[2025-02-18 10:32:19] Application app16 created successfully for ClaudeSonnet (Backend: 5211, Frontend: 5711)
[2025-02-18 10:32:19] Application app17 created successfully for ClaudeSonnet (Backend: 5213, Frontend: 5713)
[2025-02-18 10:32:19] Application app18 created successfully for ClaudeSonnet (Backend: 5215, Frontend: 5715)
[2025-02-18 10:32:19] Application app19 created successfully for ClaudeSonnet (Backend: 5217, Frontend: 5717)
[2025-02-18 10:32:19] Application app20 created successfully for ClaudeSonnet (Backend: 5219, Frontend: 5719)
[2025-02-18 10:41:51] Created base directory: C:/Users/grabowmar/Desktop/ThesisAppsSvelte/ClaudeSonnet
[2025-02-18 10:41:51] Error occurred in ClaudeSonnet: [Errno 2] No such file or directory: 'z_code_templates/frontend/src/App.css'
[2025-02-18 10:42:33] Created base directory: C:/Users/grabowmar/Desktop/ThesisAppsSvelte/ClaudeSonnet
[2025-02-18 10:42:33] Application app1 created successfully for ClaudeSonnet (Backend: 5181, Frontend: 5681)
[2025-02-18 10:42:33] Application app2 created successfully for ClaudeSonnet (Backend: 5183, Frontend: 5683)
[2025-02-18 10:42:33] Application app3 created successfully for ClaudeSonnet (Backend: 5185, Frontend: 5685)
[2025-02-18 10:42:33] Application app4 created successfully for ClaudeSonnet (Backend: 5187, Frontend: 5687)
[2025-02-18 10:42:34] Application app5 created successfully for ClaudeSonnet (Backend: 5189, Frontend: 5689)
[2025-02-18 10:42:34] Application app6 created successfully for ClaudeSonnet (Backend: 5191, Frontend: 5691)
[2025-02-18 10:42:34] Application app7 created successfully for ClaudeSonnet (Backend: 5193, Frontend: 5693)
[2025-02-18 10:42:34] Application app8 created successfully for ClaudeSonnet (Backend: 5195, Frontend: 5695)
[2025-02-18 10:42:34] Application app9 created successfully for ClaudeSonnet (Backend: 5197, Frontend: 5697)
[2025-02-18 10:42:34] Application app10 created successfully for ClaudeSonnet (Backend: 5199, Frontend: 5699)
[2025-02-18 10:42:34] Application app11 created successfully for ClaudeSonnet (Backend: 5201, Frontend: 5701)
[2025-02-18 10:42:34] Application app12 created successfully for ClaudeSonnet (Backend: 5203, Frontend: 5703)
[2025-02-18 10:42:34] Application app13 created successfully for ClaudeSonnet (Backend: 5205, Frontend: 5705)
[2025-02-18 10:42:34] Application app14 created successfully for ClaudeSonnet (Backend: 5207, Frontend: 5707)
[2025-02-18 10:42:34] Application app15 created successfully for ClaudeSonnet (Backend: 5209, Frontend: 5709)
[2025-02-18 10:42:34] Application app16 created successfully for ClaudeSonnet (Backend: 5211, Frontend: 5711)
[2025-02-18 10:42:34] Application app17 created successfully for ClaudeSonnet (Backend: 5213, Frontend: 5713)
[2025-02-18 10:42:34] Application app18 created successfully for ClaudeSonnet (Backend: 5215, Frontend: 5715)
[2025-02-18 10:42:34] Application app19 created successfully for ClaudeSonnet (Backend: 5217, Frontend: 5717)
[2025-02-18 10:42:34] Application app20 created successfully for ClaudeSonnet (Backend: 5219, Frontend: 5719)
