[2025-02-18 10:29:24] Application app1 created successfully for ChatGPT4o (Backend: 5001, Frontend: 5501)
[2025-02-18 10:30:49] Application app6 created successfully for ChatGPT4o (Backend: 5011, Frontend: 5511)
[2025-02-18 10:30:49] Application app7 created successfully for ChatGPT4o (Backend: 5013, Frontend: 5513)
[2025-02-18 10:30:49] Application app8 created successfully for ChatGPT4o (Backend: 5015, Frontend: 5515)
[2025-02-18 10:30:49] Application app9 created successfully for ChatGPT4o (Backend: 5017, Frontend: 5517)
[2025-02-18 10:30:49] Application app10 created successfully for ChatGPT4o (Backend: 5019, Frontend: 5519)
[2025-02-18 10:30:49] Application app11 created successfully for ChatGPT4o (Backend: 5021, Frontend: 5521)
[2025-02-18 10:30:49] Application app12 created successfully for ChatGPT4o (Backend: 5023, Frontend: 5523)
[2025-02-18 10:30:49] Application app13 created successfully for ChatGPT4o (Backend: 5025, Frontend: 5525)
[2025-02-18 10:30:49] Application app14 created successfully for ChatGPT4o (Backend: 5027, Frontend: 5527)
[2025-02-18 10:30:49] Application app15 created successfully for ChatGPT4o (Backend: 5029, Frontend: 5529)
[2025-02-18 10:30:49] Application app16 created successfully for ChatGPT4o (Backend: 5031, Frontend: 5531)
[2025-02-18 10:30:49] Application app17 created successfully for ChatGPT4o (Backend: 5033, Frontend: 5533)
[2025-02-18 10:30:49] Application app18 created successfully for ChatGPT4o (Backend: 5035, Frontend: 5535)
[2025-02-18 10:30:49] Application app19 created successfully for ChatGPT4o (Backend: 5037, Frontend: 5537)
[2025-02-18 10:30:49] Application app20 created successfully for ChatGPT4o (Backend: 5039, Frontend: 5539)
[2025-02-18 10:32:19] Created base directory: C:/Users/grabowmar/Desktop/ThesisAppsSvelte/ChatGPT4o
[2025-02-18 10:32:19] Application app1 created successfully for ChatGPT4o (Backend: 5001, Frontend: 5501)
[2025-02-18 10:32:19] Application app2 created successfully for ChatGPT4o (Backend: 5003, Frontend: 5503)
[2025-02-18 10:32:19] Application app3 created successfully for ChatGPT4o (Backend: 5005, Frontend: 5505)
[2025-02-18 10:32:19] Application app4 created successfully for ChatGPT4o (Backend: 5007, Frontend: 5507)
[2025-02-18 10:32:19] Application app5 created successfully for ChatGPT4o (Backend: 5009, Frontend: 5509)
[2025-02-18 10:32:19] Application app6 created successfully for ChatGPT4o (Backend: 5011, Frontend: 5511)
[2025-02-18 10:32:19] Application app7 created successfully for ChatGPT4o (Backend: 5013, Frontend: 5513)
[2025-02-18 10:32:19] Application app8 created successfully for ChatGPT4o (Backend: 5015, Frontend: 5515)
[2025-02-18 10:32:19] Application app9 created successfully for ChatGPT4o (Backend: 5017, Frontend: 5517)
[2025-02-18 10:32:19] Application app10 created successfully for ChatGPT4o (Backend: 5019, Frontend: 5519)
[2025-02-18 10:32:19] Application app11 created successfully for ChatGPT4o (Backend: 5021, Frontend: 5521)
[2025-02-18 10:32:19] Application app12 created successfully for ChatGPT4o (Backend: 5023, Frontend: 5523)
[2025-02-18 10:32:19] Application app13 created successfully for ChatGPT4o (Backend: 5025, Frontend: 5525)
[2025-02-18 10:32:19] Application app14 created successfully for ChatGPT4o (Backend: 5027, Frontend: 5527)
[2025-02-18 10:32:19] Application app15 created successfully for ChatGPT4o (Backend: 5029, Frontend: 5529)
[2025-02-18 10:32:19] Application app16 created successfully for ChatGPT4o (Backend: 5031, Frontend: 5531)
[2025-02-18 10:32:19] Application app17 created successfully for ChatGPT4o (Backend: 5033, Frontend: 5533)
[2025-02-18 10:32:19] Application app18 created successfully for ChatGPT4o (Backend: 5035, Frontend: 5535)
[2025-02-18 10:32:19] Application app19 created successfully for ChatGPT4o (Backend: 5037, Frontend: 5537)
[2025-02-18 10:32:19] Application app20 created successfully for ChatGPT4o (Backend: 5039, Frontend: 5539)
[2025-02-18 10:41:51] Created base directory: C:/Users/grabowmar/Desktop/ThesisAppsSvelte/ChatGPT4o
[2025-02-18 10:41:51] Error occurred in ChatGPT4o: [Errno 2] No such file or directory: 'z_code_templates/frontend/src/App.css'
[2025-02-18 10:42:33] Created base directory: C:/Users/grabowmar/Desktop/ThesisAppsSvelte/ChatGPT4o
[2025-02-18 10:42:33] Application app1 created successfully for ChatGPT4o (Backend: 5001, Frontend: 5501)
[2025-02-18 10:42:33] Application app2 created successfully for ChatGPT4o (Backend: 5003, Frontend: 5503)
[2025-02-18 10:42:33] Application app3 created successfully for ChatGPT4o (Backend: 5005, Frontend: 5505)
[2025-02-18 10:42:33] Application app4 created successfully for ChatGPT4o (Backend: 5007, Frontend: 5507)
[2025-02-18 10:42:33] Application app5 created successfully for ChatGPT4o (Backend: 5009, Frontend: 5509)
[2025-02-18 10:42:33] Application app6 created successfully for ChatGPT4o (Backend: 5011, Frontend: 5511)
[2025-02-18 10:42:33] Application app7 created successfully for ChatGPT4o (Backend: 5013, Frontend: 5513)
[2025-02-18 10:42:33] Application app8 created successfully for ChatGPT4o (Backend: 5015, Frontend: 5515)
[2025-02-18 10:42:33] Application app9 created successfully for ChatGPT4o (Backend: 5017, Frontend: 5517)
[2025-02-18 10:42:33] Application app10 created successfully for ChatGPT4o (Backend: 5019, Frontend: 5519)
[2025-02-18 10:42:33] Application app11 created successfully for ChatGPT4o (Backend: 5021, Frontend: 5521)
[2025-02-18 10:42:33] Application app12 created successfully for ChatGPT4o (Backend: 5023, Frontend: 5523)
[2025-02-18 10:42:33] Application app13 created successfully for ChatGPT4o (Backend: 5025, Frontend: 5525)
[2025-02-18 10:42:33] Application app14 created successfully for ChatGPT4o (Backend: 5027, Frontend: 5527)
[2025-02-18 10:42:33] Application app15 created successfully for ChatGPT4o (Backend: 5029, Frontend: 5529)
[2025-02-18 10:42:33] Application app16 created successfully for ChatGPT4o (Backend: 5031, Frontend: 5531)
[2025-02-18 10:42:33] Application app17 created successfully for ChatGPT4o (Backend: 5033, Frontend: 5533)
[2025-02-18 10:42:33] Application app18 created successfully for ChatGPT4o (Backend: 5035, Frontend: 5535)
[2025-02-18 10:42:33] Application app19 created successfully for ChatGPT4o (Backend: 5037, Frontend: 5537)
[2025-02-18 10:42:33] Application app20 created successfully for ChatGPT4o (Backend: 5039, Frontend: 5539)
